PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURY TYPE
Abdel Nader,Suns,15 March 2021,18 March 2021,3,Sore Right Knee
Timothe Luwawu-Cabarrot,Nets,01 March 2021,15 March 2021,14,Sore Right Knee
Malcolm Brogdon,Pacers,27 February 2021,01 March 2021,2,Sore Right Knee
Davis Bertans,Wizards,25 February 2021,27 February 2021,2,Sore Right Knee
Richaun Holmes,Kings,15 February 2021,21 February 2021,6,Sore Right Knee
Doug McDermott,Pacers,15 February 2021,17 February 2021,2,Sore Right Knee
Patrick Beverley,Clippers,25 January 2021,10 February 2021,16,Sore Right Knee
Eric Paschall,Warriors,04 February 2021,08 February 2021,4,Sore Right Knee
De'Andre Hunter,Hawks,20 January 2021,22 January 2021,2,Sore Right Knee
Joel Embiid,76ers,15 January 2021,19 January 2021,4,Sore Right Knee
Gabe Vincent,Heat,09 January 2021,12 January 2021,3,Sore Right Knee
Omari Spellman,Knicks,22 December 2020,06 January 2021,15,Sore Right Knee
Gabe Vincent,Heat,01 January 2021,04 January 2021,3,Sore Right Knee
Mike Conley,Jazz,12 August 2020,21 August 2020,9,Sore Right Knee
Anthony Davis,Lakers,13 August 2020,18 August 2020,5,Sore Right Knee
Bam Adebayo,Heat,14 August 2020,18 August 2020,4,Sore Right Knee
OG Anunoby,Raptors,12 August 2020,17 August 2020,5,Sore Right Knee
Eric Bledsoe,Bucks,11 August 2020,12 August 2020,1,Sore Right Knee
Jerami Grant,Nuggets,10 August 2020,12 August 2020,2,Sore Right Knee
Juwan Morgan,Jazz,08 August 2020,12 August 2020,4,Sore Right Knee
Doug McDermott,Pacers,06 August 2020,08 August 2020,2,Sore Right Knee
Gabe Vincent,Heat,06 August 2020,08 August 2020,2,Sore Right Knee
Mike Conley,Jazz,06 August 2020,08 August 2020,2,Sore Right Knee
Mike Scott,76ers,01 August 2020,07 August 2020,6,Sore Right Knee
Oshae Brissett,Raptors,01 August 2020,07 August 2020,6,Sore Right Knee
Dwight Howard,Lakers,05 August 2020,06 August 2020,1,Sore Right Knee
Frank Kaminsky,Suns,01 January 2020,31 July 2020,212,Sore Right Knee
Eric Gordon,Rockets,07 March 2020,10 March 2020,3,Sore Right Knee
Victor Oladipo,Pacers,02 March 2020,06 March 2020,4,Sore Right Knee
Serge Ibaka,Raptors,28 February 2020,05 March 2020,6,Sore Right Knee
Anthony Davis,Lakers,01 March 2020,03 March 2020,2,Sore Right Knee
Davis Bertans,Wizards,24 February 2020,26 February 2020,2,Sore Right Knee
Tyler Johnson,Suns,03 February 2020,11 February 2020,8,Sore Right Knee
Derrick Rose,Pistons,27 January 2020,29 January 2020,2,Sore Right Knee
Jae Crowder,Grizzlies,26 January 2020,29 January 2020,3,Sore Right Knee
TJ Leaf,Pacers,24 January 2020,26 January 2020,2,Sore Right Knee
Kristaps Porzingis,Mavericks,31 December 2019,21 January 2020,21,Sore Right Knee
Brandon Ingram,Pelicans,13 January 2020,16 January 2020,3,Sore Right Knee
Jayson Tatum,Celtics,15 January 2020,16 January 2020,1,Sore Right Knee
Daniel Theis,Celtics,13 January 2020,15 January 2020,2,Sore Right Knee
Eric Gordon,Rockets,09 January 2020,11 January 2020,2,Sore Right Knee
Ersan Ilyasova,Bucks,10 January 2020,11 January 2020,1,Sore Right Knee
Edmond Sumner,Pacers,02 January 2020,04 January 2020,2,Sore Right Knee
Marvin Williams,Hornets,08 December 2019,17 December 2019,9,Sore Right Knee
Brandon Ingram,Pelicans,11 November 2019,19 November 2019,8,Sore Right Knee
Dwayne Bacon,Hornets,13 November 2019,16 November 2019,3,Sore Right Knee
Terrence Ross,Magic,06 November 2019,10 November 2019,4,Sore Right Knee
Jaren Jackson Jr.,Grizzlies,04 November 2019,06 November 2019,2,Sore Right Knee
Derrick Favors,Pelicans,28 October 2019,04 November 2019,7,Sore Right Knee
Kadeem Allen,Knicks,23 October 2019,01 November 2019,9,Sore Right Knee
Romeo Langford,Celtics,23 October 2019,30 October 2019,7,Sore Right Knee
Kyle Korver,Jazz,01 April 2019,14 April 2019,13,Sore Right Knee
Klay Thompson,Warriors,09 April 2019,10 April 2019,1,Sore Right Knee
Furkan Korkmaz,76ers,25 February 2019,09 April 2019,43,Sore Right Knee
Joakim Noah,Grizzlies,22 March 2019,23 March 2019,1,Sore Right Knee
Klay Thompson,Warriors,05 March 2019,08 March 2019,3,Sore Right Knee
Eric Gordon,Rockets,28 February 2019,03 March 2019,3,Sore Right Knee
Giannis Antetokounmpo,Bucks,25 February 2019,27 February 2019,2,Sore Right Knee
Furkan Korkmaz,76ers,13 February 2019,21 February 2019,8,Sore Right Knee
Giannis Antetokounmpo,Bucks,09 February 2019,11 February 2019,2,Sore Right Knee
Eric Gordon,Rockets,04 February 2019,06 February 2019,2,Sore Right Knee
Damian Lillard,Blazers,26 January 2019,30 January 2019,4,Sore Right Knee
Jevon Carter,Grizzlies,10 December 2018,15 December 2018,5,Sore Right Knee
David Nwaba,Cavaliers,30 November 2018,12 December 2018,12,Sore Right Knee
Victor Oladipo,Pacers,19 November 2018,12 December 2018,23,Sore Right Knee
Robert Covington,Timberwolves,08 December 2018,10 December 2018,2,Sore Right Knee
Maxi Kleber,Mavericks,02 December 2018,04 December 2018,2,Sore Right Knee
David Nwaba,Cavaliers,26 November 2018,28 November 2018,2,Sore Right Knee
Ersan Ilyasova,Bucks,26 November 2018,28 November 2018,2,Sore Right Knee
Serge Ibaka,Raptors,14 November 2018,16 November 2018,2,Sore Right Knee
Tyus Jones,Timberwolves,23 April 2018,25 April 2018,2,Sore Right Knee
Goran Dragic,Heat,11 April 2018,14 April 2018,3,Sore Right Knee
LaMarcus Aldridge,Spurs,12 March 2018,13 March 2018,1,Sore Right Knee
LaMarcus Aldridge,Spurs,12 February 2018,23 February 2018,11,Sore Right Knee
Ben McLemore,Grizzlies,26 January 2018,31 January 2018,5,Sore Right Knee
Jimmy Butler,Timberwolves,20 January 2018,27 January 2018,7,Sore Right Knee
Giannis Antetokounmpo,Bucks,20 January 2018,26 January 2018,6,Sore Right Knee
Victor Oladipo,Pacers,27 December 2017,06 January 2018,10,Sore Right Knee
Jaylen Brown,Celtics,27 December 2017,31 December 2017,4,Sore Right Knee
JaMychal Green,Grizzlies,23 December 2017,30 December 2017,7,Sore Right Knee
Giannis Antetokounmpo,Bucks,23 December 2017,26 December 2017,3,Sore Right Knee
Ian Mahinmi,Wizards,12 December 2017,15 December 2017,3,Sore Right Knee
Giannis Antetokounmpo,Bucks,22 November 2017,25 November 2017,3,Sore Right Knee
Thabo Sefolosha,Jazz,17 November 2017,18 November 2017,1,Sore Right Knee
Patrick Beverley,Clippers,10 November 2017,17 November 2017,7,Sore Right Knee
Rodney Hood,Jazz,09 April 2017,12 April 2017,3,Sore Right Knee
Derrick Favors,Jazz,08 March 2017,07 April 2017,30,Sore Right Knee
Rodney Hood,Jazz,04 April 2017,07 April 2017,3,Sore Right Knee
Jahlil Okafor,76ers,20 March 2017,22 March 2017,2,Sore Right Knee
Rodney Hood,Jazz,16 March 2017,20 March 2017,4,Sore Right Knee
Robert Covington,76ers,12 March 2017,14 March 2017,2,Sore Right Knee
Jahlil Okafor,76ers,04 March 2017,09 March 2017,5,Sore Right Knee
Rodney Hood,Jazz,01 March 2017,05 March 2017,4,Sore Right Knee
Caris LeVert,Nets,05 February 2017,08 February 2017,3,Sore Right Knee
Ian Mahinmi,Wizards,28 November 2016,08 February 2017,72,Sore Right Knee
LaMarcus Aldridge,Spurs,02 February 2017,04 February 2017,2,Sore Right Knee
Jahlil Okafor,76ers,24 January 2017,30 January 2017,6,Sore Right Knee
Kent Bazemore,Hawks,07 December 2016,13 December 2016,6,Sore Right Knee
Blake Griffin,Clippers,10 December 2016,12 December 2016,2,Sore Right Knee
Zach LaVine,Timberwolves,13 November 2016,15 November 2016,2,Sore Right Knee
Derrick Favors,Jazz,01 April 2016,03 April 2016,2,Sore Right Knee
Larry Nance Jr.,Lakers,22 March 2016,23 March 2016,1,Sore Right Knee
Larry Nance Jr.,Lakers,17 January 2016,26 January 2016,9,Sore Right Knee
Hassan Whiteside,Heat,04 January 2016,06 January 2016,2,Sore Right Knee
Doug McDermott,Bulls,28 December 2015,30 December 2015,2,Sore Right Knee
Nerlens Noel,76ers,27 November 2015,01 December 2015,4,Sore Right Knee
Carmelo Anthony,Knicks,14 March 2013,20 March 2013,6,Sore Right Knee
Carmelo Anthony,Knicks,06 March 2013,11 March 2013,5,Sore Right Knee
Eric Bledsoe,Clippers,01 February 2012,11 February 2012,10,Sore Right Knee
Alex Caruso,Lakers,13 March 2021,18 March 2021,5,Concussion
Grayson Allen,Grizzlies,27 February 2021,11 March 2021,12,Concussion
Nicolas Batum,Clippers,15 February 2021,19 February 2021,4,Concussion
Sekou Doumbouya,Pistons,12 February 2021,19 February 2021,7,Concussion
Mike Muscala,Thunder,07 February 2021,10 February 2021,3,Concussion
Donovan Mitchell,Jazz,27 January 2021,31 January 2021,4,Concussion
Robert Covington,Blazers,29 January 2021,30 January 2021,1,Concussion
Abdel Nader,Suns,22 December 2020,05 January 2021,14,Concussion
Blake Griffin,Pistons,31 December 2020,03 January 2021,3,Concussion
Mike Muscala,Thunder,04 August 2020,08 August 2020,4,Concussion
Jae Crowder,Heat,07 March 2020,11 March 2020,4,Concussion
Dennis Smith Jr.,Knicks,29 February 2020,10 March 2020,10,Concussion
Josh Richardson,76ers,03 March 2020,10 March 2020,7,Concussion
Cody Martin,Hornets,08 February 2020,20 February 2020,12,Concussion
Cam Reddish,Hawks,03 February 2020,10 February 2020,7,Concussion
T.J. Warren,Pacers,03 February 2020,08 February 2020,5,Concussion
Malcolm Brogdon,Pacers,24 January 2020,29 January 2020,5,Concussion
Kelly Oubre Jr.,Suns,16 January 2020,20 January 2020,4,Concussion
Allonzo Trier,Knicks,13 December 2019,20 December 2019,7,Concussion
Patrick Beverley,Clippers,13 December 2019,17 December 2019,4,Concussion
Justise Winslow,Heat,07 November 2019,27 November 2019,20,Concussion
Clint Capela,Rockets,15 November 2019,18 November 2019,3,Concussion
Goga Bitadze,Pacers,08 November 2019,15 November 2019,7,Concussion
Mitchell Robinson,Knicks,08 November 2019,14 November 2019,6,Concussion
Jonathan Isaac,Magic,10 April 2019,13 April 2019,3,Concussion
OG Anunoby,Raptors,28 March 2019,05 April 2019,8,Concussion
Gordon Hayward,Celtics,18 March 2019,24 March 2019,6,Concussion
Ante Zizic,Cavaliers,03 March 2019,08 March 2019,5,Concussion
Andre Drummond,Pistons,19 January 2019,25 January 2019,6,Concussion
Nerlens Noel,Thunder,10 January 2019,17 January 2019,7,Concussion
Yuta Watanabe,Grizzlies,12 December 2018,14 December 2018,2,Concussion
Ersan Ilyasova,Bucks,01 December 2018,07 December 2018,6,Concussion
Davis Bertans,Spurs,19 November 2018,21 November 2018,2,Concussion
Markieff Morris,Wizards,30 October 2018,02 November 2018,3,Concussion
Giannis Antetokounmpo,Bucks,29 October 2018,01 November 2018,3,Concussion
Troy Daniels,Suns,19 October 2018,22 October 2018,3,Concussion
Kevin Love,Cavaliers,26 May 2018,31 May 2018,5,Concussion
Ian Mahinmi,Wizards,06 April 2018,10 April 2018,4,Concussion
Kevin Love,Cavaliers,28 March 2018,30 March 2018,2,Concussion
Tony Bradley,Jazz,13 March 2018,27 March 2018,14,Concussion
Jaylen Brown,Celtics,11 March 2018,25 March 2018,14,Concussion
Aaron Gordon,Magic,09 March 2018,19 March 2018,10,Concussion
Terrance Ferguson,Thunder,10 March 2018,12 March 2018,2,Concussion
Kris Dunn,Bulls,20 January 2018,14 February 2018,25,Concussion
Al Horford,Celtics,24 January 2018,27 January 2018,3,Concussion
Jamal Murray,Nuggets,17 January 2018,19 January 2018,2,Concussion
Raul Neto,Jazz,13 December 2017,15 January 2018,33,Concussion
Blake Griffin,Clippers,08 January 2018,11 January 2018,3,Concussion
Derrick Favors,Jazz,18 December 2017,20 December 2017,2,Concussion
Steven Adams,Thunder,16 December 2017,20 December 2017,4,Concussion
Austin Rivers,Clippers,15 December 2017,18 December 2017,3,Concussion
Aaron Gordon,Magic,13 December 2017,15 December 2017,2,Concussion
Patrick McCaw,Warriors,08 December 2017,11 December 2017,3,Concussion
Al Horford,Celtics,08 November 2017,12 November 2017,4,Concussion
Myles Turner,Pacers,20 October 2017,03 November 2017,14,Concussion
Kawhi Leonard,Spurs,11 March 2017,13 March 2017,2,Concussion
Steven Adams,Thunder,16 January 2017,23 January 2017,7,Concussion
Richaun Holmes,76ers,13 January 2017,21 January 2017,8,Concussion
Cody Zeller,Hornets,02 January 2017,07 January 2017,5,Concussion
George Hill,Jazz,05 January 2017,07 January 2017,2,Concussion
Richaun Holmes,76ers,23 December 2016,04 January 2017,12,Concussion
Austin Rivers,Clippers,11 December 2016,14 December 2016,3,Concussion
Doug McDermott,Bulls,15 November 2016,05 December 2016,20,Concussion
Al Horford,Celtics,02 November 2016,19 November 2016,17,Concussion
Larry Nance Jr.,Lakers,08 November 2016,10 November 2016,2,Concussion
Doug McDermott,Bulls,02 November 2016,04 November 2016,2,Concussion
Kevin Love,Cavaliers,08 June 2016,10 June 2016,2,Concussion
Aaron Gordon,Magic,08 April 2016,13 April 2016,5,Concussion
Robert Covington,76ers,12 March 2016,23 March 2016,11,Concussion
Jerami Grant,76ers,12 March 2016,17 March 2016,5,Concussion
Lance Thomas,Knicks,07 February 2016,09 February 2016,2,Concussion
Cameron Payne,Thunder,29 January 2016,01 February 2016,3,Concussion
Anthony Davis,Pelicans,25 January 2016,30 January 2016,5,Concussion
Gary Harris,Nuggets,03 December 2015,11 December 2015,8,Concussion
Victor Oladipo,Magic,13 November 2015,18 November 2015,5,Concussion
Patrick Beverley,Rockets,06 November 2015,11 November 2015,5,Concussion
Rudy Gay,Kings,03 April 2015,07 April 2015,4,Concussion
Rodney Hood,Jazz,01 April 2015,04 April 2015,3,Concussion
Marvin Williams,Hornets,28 January 2015,02 February 2015,5,Concussion
Ersan Ilyasova,Bucks,26 December 2014,15 January 2015,20,Concussion
Courtney Lee,Grizzlies,01 November 2014,05 November 2014,4,Concussion
Wayne Ellington,Lakers,28 October 2014,29 October 2014,1,Concussion
Stephen Curry,Warriors,20 November 2013,23 November 2013,3,Concussion
George Hill,Pacers,16 May 2013,18 May 2013,2,Concussion
Michael Kidd-Gilchrist,Bobcats,04 February 2013,08 February 2013,4,Concussion
Kyrie Irving,Cavaliers,10 February 2012,15 February 2012,5,Concussion
Ersan Ilyasova,Bucks,13 March 2011,08 April 2011,26,Concussion
Chris Paul,Hornets,09 March 2011,12 March 2011,3,Concussion
Al Horford,Celtics,11 April 2018,15 April 2018,4,For Rest
Bojan Bogdanovic,Pacers,10 April 2018,15 April 2018,5,For Rest
Kevin Love,Cavaliers,11 April 2018,15 April 2018,4,For Rest
Kyle Korver,Cavaliers,11 April 2018,15 April 2018,4,For Rest
Terry Rozier,Celtics,11 April 2018,15 April 2018,4,For Rest
Serge Ibaka,Raptors,09 April 2018,11 April 2018,2,For Rest
John Wall,Wizards,06 April 2018,10 April 2018,4,For Rest
Jonas Valanciunas,Raptors,08 April 2018,9 April 2018,1,For Rest
Al Horford,Celtics,06 April 2018,8 April 2018,2,For Rest
Harrison Barnes,Mavericks,04 April 2018,6 April 2018,2,For Rest
Dorian Finney-Smith,Mavericks,03 April 2018,4 April 2018,1,For Rest
Marc Gasol,Grizzlies,22 March 2018,24 March 2018,2,For Rest
Harrison Barnes,Mavericks,17 March 2018,20 March 2018,3,For Rest
Kyle Lowry,Raptors,16 March 2018,18 March 2018,2,For Rest
Dorian Finney-Smith,Mavericks,11 March 2018,13 March 2018,2,For Rest
Marc Gasol,Grizzlies,10 March 2018,12 March 2018,2,For Rest
Nerlens Noel,Mavericks,10 March 2018,11 March 2018,1,For Rest
Carmelo Anthony,Thunder,03 March 2018,6 March 2018,3,For Rest
Marc Gasol,Grizzlies,03 March 2018,5 March 2018,2,For Rest
Andre Iguodala,Warriors,02 February 2018,3 February 2018,1,For Rest
Joel Embiid,76ers,29 January 2018,31 January 2018,2,For Rest
D'Angelo Russell,Nets,27 January 2018,30 January 2018,3,For Rest
Kawhi Leonard,Spurs,03 January 2018,5 January 2018,2,For Rest
Kawhi Leonard,Spurs,28 December 2017,30 December 2017,2,For Rest
Joel Embiid,76ers,18 December 2017,23 December 2017,5,For Rest
Kawhi Leonard,Spurs,20 December 2017,21 December 2017,1,For Rest
Kawhi Leonard,Spurs,16 December 2017,18 December 2017,2,For Rest
Al Horford,Celtics,13 December 2017,15 December 2017,2,For Rest
Draymond Green,Warriors,24 November 2017,25 November 2017,1,For Rest
Danny Green,Spurs,11 November 2017,14 November 2017,3,For Rest
Andre Iguodala,Warriors,11 November 2017,13 November 2017,2,For Rest
Joel Embiid,76ers,07 November 2017,9 November 2017,2,For Rest
Garrett Temple,Kings,31 October 2017,1 November 2017,1,For Rest
George Hill,Kings,29 October 2017,31 October 2017,2,For Rest
Bradley Beal,Wizards,12 April 2017,16 April 2017,4,For Rest
LeBron James,Cavaliers,12 April 2017,15 April 2017,3,For Rest
Trevor Ariza,Rockets,09 April 2017,10 April 2017,1,For Rest
DeAndre Jordan,Clippers,16 March 2017,18 March 2017,2,For Rest
Draymond Green,Warriors,11 March 2017,14 March 2017,3,For Rest
Dwight Howard,Hawks,11 March 2017,13 March 2017,2,For Rest
Kawhi Leonard,Spurs,08 March 2017,9 March 2017,1,For Rest
LaMarcus Aldridge,Spurs,08 March 2017,9 March 2017,1,For Rest
Eric Bledsoe,Suns,11 February 2017,13 February 2017,2,For Rest
Andre Iguodala,Warriors,23 January 2017,25 January 2017,2,For Rest
Brook Lopez,Nets,15 January 2017,17 January 2017,2,For Rest
Klay Thompson,Warriors,10 January 2017,12 January 2017,2,For Rest
Brook Lopez,Nets,20 December 2016,22 December 2016,2,For Rest
D'Angelo Russell,Lakers,17 December 2016,20 December 2016,3,For Rest
LaMarcus Aldridge,Spurs,14 December 2016,18 December 2016,4,For Rest
Kyrie Irving,Cavaliers,13 December 2016,17 December 2016,4,For Rest
John Wall,Wizards,12 November 2016,16 November 2016,4,For Rest
Danny Green,Spurs,11 November 2016,12 November 2016,1,For Rest
John Wall,Wizards,05 November 2016,7 November 2016,2,For Rest
JJ Redick,Clippers,13 April 2016,17 April 2016,4,For Rest
DeMar DeRozan,Raptors,08 April 2016,10 April 2016,2,For Rest
DeMarre Carroll,Raptors,08 April 2016,10 April 2016,2,For Rest
LeBron James,Cavaliers,06 April 2016,9 April 2016,3,For Rest
Kyrie Irving,Cavaliers,26 March 2016,29 March 2016,3,For Rest
Serge Ibaka,Thunder,18 March 2016,19 March 2016,1,For Rest
Bradley Beal,Wizards,16 January 2016,18 January 2016,2,For Rest
Wesley Matthews,Mavericks,13 January 2016,15 January 2016,2,For Rest
LaMarcus Aldridge,Spurs,06 January 2016,8 January 2016,2,For Rest
Kyrie Irving,Cavaliers,26 December 2015,28 December 2015,2,For Rest
LeBron James,Cavaliers,15 April 2015,19 April 2015,4,For Rest
Kevin Love,Cavaliers,12 April 2015,13 April 2015,1,For Rest
John Wall,Wizards,08 April 2015,12 April 2015,4,For Rest
Rajon Rondo,Mavericks,10 April 2015,12 April 2015,2,For Rest
Mike Conley,Grizzlies,12 March 2015,20 March 2015,8,For Rest
Kevin Love,Cavaliers,15 March 2015,18 March 2015,3,For Rest
Carmelo Anthony,Knicks,07 February 2015,9 February 2015,2,For Rest
Al Horford,Hawks,14 January 2015,16 January 2015,2,For Rest
Kyle Korver,Hawks,14 January 2015,16 January 2015,2,For Rest
DeMarre Carroll,Hawks,13 January 2015,14 January 2015,1,For Rest
Paul Millsap,Hawks,13 January 2015,14 January 2015,1,For Rest
Russell Westbrook,Thunder,14 April 2014,16 April 2014,2,For Rest
Immanuel Quickley,Knicks,18 March 2021,21 March 2021,3,Sore Left Ankle
LeBron James,Lakers,03 March 2021,12 March 2021,9,Sore Left Ankle
Draymond Green,Warriors,04 March 2021,10 March 2021,6,Sore Left Ankle
Taurean Prince,Cavaliers,01 March 2021,3 March 2021,2,Sore Left Ankle
Seth Curry,76ers,23 February 2021,25 February 2021,2,Sore Left Ankle
Taurean Prince,Cavaliers,15 February 2021,24 February 2021,9,Sore Left Ankle
Abdel Nader,Suns,07 February 2021,13 February 2021,6,Sore Left Ankle
Goran Dragic,Heat,14 August 2020,18 August 2020,4,Sore Left Ankle
Victor Oladipo,Pacers,14 August 2020,18 August 2020,4,Sore Left Ankle
Devonte' Graham,Hornets,03 March 2020,5 March 2020,2,Sore Left Ankle
Danilo Gallinari,Thunder,28 February 2020,2 March 2020,3,Sore Left Ankle
Deandre Ayton,Suns,10 February 2020,21 February 2020,11,Sore Left Ankle
Nerlens Noel,Thunder,20 January 2020,22 January 2020,2,Sore Left Ankle
Jae Crowder,Grizzlies,29 December 2019,2 January 2020,4,Sore Left Ankle
Danilo Gallinari,Thunder,22 December 2019,31 December 2019,9,Sore Left Ankle
Jae Crowder,Grizzlies,14 December 2019,16 December 2019,2,Sore Left Ankle
DeAndre Jordan,Nets,25 November 2019,29 November 2019,4,Sore Left Ankle
Grayson Allen,Grizzlies,04 November 2019,23 November 2019,19,Sore Left Ankle
D.J. Wilson,Bucks,19 May 2019,21 May 2019,2,Sore Left Ankle
Raul Neto,Jazz,05 April 2019,14 April 2019,9,Sore Left Ankle
Rudy Gobert,Jazz,10 April 2019,14 April 2019,4,Sore Left Ankle
Aron Baynes,Celtics,09 April 2019,13 April 2019,4,Sore Left Ankle
Gordon Hayward,Celtics,09 April 2019,13 April 2019,4,Sore Left Ankle
Danilo Gallinari,Clippers,07 April 2019,10 April 2019,3,Sore Left Ankle
Danilo Gallinari,Clippers,30 March 2019,31 March 2019,1,Sore Left Ankle
Danilo Gallinari,Clippers,12 March 2019,15 March 2019,3,Sore Left Ankle
Luka Doncic,Mavericks,31 January 2019,2 February 2019,2,Sore Left Ankle
DeMar DeRozan,Spurs,18 January 2019,20 January 2019,2,Sore Left Ankle
Joel Embiid,76ers,11 January 2019,13 January 2019,2,Sore Left Ankle
J.J. Barea,Mavericks,05 January 2019,7 January 2019,2,Sore Left Ankle
Derrick Rose,Timberwolves,23 December 2018,26 December 2018,3,Sore Left Ankle
Gary Harris,Nuggets,24 November 2018,30 November 2018,6,Sore Left Ankle
Gordon Hayward,Celtics,24 November 2018,26 November 2018,2,Sore Left Ankle
Myles Turner,Pacers,23 November 2018,26 November 2018,3,Sore Left Ankle
Kawhi Leonard,Raptors,04 November 2018,7 November 2018,3,Sore Left Ankle
Derrick Rose,Timberwolves,04 November 2018,5 November 2018,1,Sore Left Ankle
Wayne Ellington,Heat,17 October 2018,27 October 2018,10,Sore Left Ankle
Jared Dudley,Suns,30 March 2018,6 April 2018,7,Sore Left Ankle
Eric Bledsoe,Bucks,01 February 2018,2 February 2018,1,Sore Left Ankle
Rodney Hood,Jazz,07 December 2017,13 December 2017,6,Sore Left Ankle
Rodney Hood,Jazz,01 December 2017,7 December 2017,6,Sore Left Ankle
Aaron Gordon,Magic,20 October 2017,24 October 2017,4,Sore Left Ankle
DeMarre Carroll,Raptors,11 March 2017,16 March 2017,5,Sore Left Ankle
Will Barton,Nuggets,01 February 2017,3 February 2017,2,Sore Left Ankle
Taj Gibson,Bulls,29 January 2017,1 February 2017,3,Sore Left Ankle
Taj Gibson,Bulls,17 January 2017,20 January 2017,3,Sore Left Ankle
Lance Thomas,Knicks,14 November 2016,2 December 2016,18,Sore Left Ankle
Will Barton,Nuggets,25 November 2016,27 November 2016,2,Sore Left Ankle
Paul George,Pacers,18 November 2016,23 November 2016,5,Sore Left Ankle
Nicolas Batum,Hornets,13 April 2016,17 April 2016,4,Sore Left Ankle
Patrick Patterson,Raptors,20 March 2016,25 March 2016,5,Sore Left Ankle
Tobias Harris,Pistons,07 February 2016,19 February 2016,12,Sore Left Ankle
Derrick Rose,Bulls,18 November 2015,24 November 2015,6,Sore Left Ankle
Jeff Teague,Hawks,15 November 2015,21 November 2015,6,Sore Left Ankle
Dewayne Dedmon,Magic,27 March 2015,1 April 2015,5,Sore Left Ankle
Taj Gibson,Bulls,01 March 2015,20 March 2015,19,Sore Left Ankle
Nikola Vucevic,Magic,06 March 2015,10 March 2015,4,Sore Left Ankle
Victor Oladipo,Magic,08 March 2014,10 March 2014,2,Sore Left Ankle
Bradley Beal,Wizards,29 March 2013,31 March 2013,2,Sore Left Ankle
Wilson Chandler,Nuggets,11 April 2011,13 April 2011,2,Sore Left Ankle
Kemba Walker,Celtics,27 March 2021,29 March 2021,2,Left Knee Injury
Blake Griffin,Nets,24 March 2021,25 March 2021,1,Left Knee Injury
Kemba Walker,Celtics,22 March 2021,23 March 2021,1,Left Knee Injury
Blake Griffin,Nets,10 March 2021,21 March 2021,11,Left Knee Injury
Kemba Walker,Celtics,17 March 2021,19 March 2021,2,Left Knee Injury
Blake Griffin,Pistons,14 February 2021,5 March 2021,19,Left Knee Injury
Kemba Walker,Celtics,24 February 2021,26 February 2021,2,Left Knee Injury
Kemba Walker,Celtics,17 February 2021,19 February 2021,2,Left Knee Injury
Patrick McCaw,Raptors,22 December 2020,19 February 2021,59,Left Knee Injury
Kemba Walker,Celtics,12 February 2021,14 February 2021,2,Left Knee Injury
Derrick Rose,Knicks,05 February 2021,9 February 2021,4,Left Knee Injury
James Johnson,Mavericks,06 February 2021,8 February 2021,2,Left Knee Injury
Kemba Walker,Celtics,03 February 2021,4 February 2021,1,Left Knee Injury
Blake Griffin,Pistons,27 January 2021,28 January 2021,1,Left Knee Injury
Kemba Walker,Celtics,25 January 2021,27 January 2021,2,Left Knee Injury
Pascal Siakam,Raptors,24 January 2021,27 January 2021,3,Left Knee Injury
Blake Griffin,Pistons,23 January 2021,25 January 2021,2,Left Knee Injury
Kemba Walker,Celtics,23 December 2020,17 January 2021,25,Left Knee Injury
Blake Griffin,Pistons,27 December 2020,29 December 2020,2,Left Knee Injury
Rondae Hollis-Jefferson,Raptors,21 August 2020,23 August 2020,2,Left Knee Injury
Kemba Walker,Celtics,12 August 2020,17 August 2020,5,Left Knee Injury
Kristaps Porzingis,Mavericks,09 August 2020,11 August 2020,2,Left Knee Injury
Andre Roberson,Thunder,23 October 2019,31 July 2020,282,Left Knee Injury
Jonathan Isaac,Magic,03 January 2020,31 July 2020,210,Left Knee Injury
D.J. Augustin,Magic,15 January 2020,21 February 2020,37,Left Knee Injury
Bruno Caboclo,Rockets,14 January 2020,20 February 2020,37,Left Knee Injury
Seth Curry,Mavericks,03 February 2020,7 February 2020,4,Left Knee Injury
Christian Wood,Pistons,20 December 2019,23 December 2019,3,Left Knee Injury
Shake Milton,76ers,30 October 2019,12 November 2019,13,Left Knee Injury
Hassan Whiteside,Blazers,02 November 2019,4 November 2019,2,Left Knee Injury
CJ McCollum,Blazers,18 March 2019,7 April 2019,20,Left Knee Injury
Moe Harkless,Blazers,15 March 2019,16 March 2019,1,Left Knee Injury
Evan Turner,Blazers,09 March 2019,12 March 2019,3,Left Knee Injury
Maxi Kleber,Mavericks,06 March 2019,10 March 2019,4,Left Knee Injury
Josh Hart,Lakers,05 February 2019,7 February 2019,2,Left Knee Injury
Moe Harkless,Blazers,08 January 2019,18 January 2019,10,Left Knee Injury
Marvin Bagley III,Kings,16 December 2018,7 January 2019,22,Left Knee Injury
Moe Harkless,Blazers,05 January 2019,7 January 2019,2,Left Knee Injury
Moe Harkless,Blazers,30 December 2018,1 January 2019,2,Left Knee Injury
Brandon Knight,Rockets,17 October 2018,13 December 2018,57,Left Knee Injury
Pat Connaughton,Bucks,10 December 2018,12 December 2018,2,Left Knee Injury
Ante Zizic,Cavaliers,05 December 2018,7 December 2018,2,Left Knee Injury
Dwight Powell,Mavericks,19 November 2018,28 November 2018,9,Left Knee Injury
